hidden_layers,lr,alpha,f1,auc
"(128, 128)",0.001,0.001,0.9171,0.9582
"(128, 128)",0.001,0.0001,0.9171,0.9582
"(256, 128, 64)",0.01,0.0001,0.917,0.9557
"(256, 128, 64)",0.001,0.0001,0.9169,0.9571
"(256, 128, 64)",0.001,0.001,0.9169,0.9571
"(64, 64)",0.01,0.001,0.9162,0.9551
"(64, 64)",0.001,0.001,0.9154,0.9541
"(64, 64)",0.001,0.0001,0.9151,0.9542
"(256, 128, 64)",0.01,0.001,0.9146,0.9554
"(128, 128)",0.01,0.0001,0.9146,0.9553
"(64, 64)",0.01,0.0001,0.9144,0.9541
"(128, 128)",0.01,0.001,0.914,0.9531
